name,value,namespace,intro_version,status,capability_gate,format,compat,file,line
OP_KAD6HEADER,0xE6,UDP-PROTOCOL,Kad6-Rev3,experimental,CAP_FORK_IPV6_KAD,"family-neutral native Kad6 discriminator; followed by dedicated KADEMLIA3_* opcode and bounded signed payload",additive,srchybrid/Opcodes.h,138
OP_LIVE_ANNOUNCE,0xC0,EMULEPROT-CC,v7.0,stable,none,"<StreamHash 16><Title len><Category 1><Language 2><Bitrate 4><Flags 1>",additive,srchybrid/Opcodes.h,296
OP_LIVE_REQUEST,0xC1,EMULEPROT-CC,v7.0,stable,none,"<StreamHash 16><SegmentIndex 4>",additive,srchybrid/Opcodes.h,297
OP_LIVE_CHUNK,0xC2,EMULEPROT-CC,v7.0,stable,none,"<StreamHash 16><SegmentIndex 4><ChunkSize 4><Payload>",additive,srchybrid/Opcodes.h,298
OP_LIVE_SUBSCRIBE,0xC3,EMULEPROT-CC,v7.0,stable,none,"<StreamHash 16><ViewerHash 16>",additive,srchybrid/Opcodes.h,299
OP_LIVE_UNSUBSCRIBE,0xC4,EMULEPROT-CC,v7.0,stable,none,"<StreamHash 16><ViewerHash 16>",additive,srchybrid/Opcodes.h,300
OP_LIVE_HEARTBEAT,0xC6,EMULEPROT-CC,v7.0,stable,none,"<StreamHash 16><Bitmap 2><OldestSeq 4>(+PEX)",additive,srchybrid/Opcodes.h,302
OP_LIVE_DENY,0xC7,EMULEPROT-CC,v7.0,stable,none,"<StreamHash 16><Reason 1>",additive,srchybrid/Opcodes.h,303
OP_LIVE_END,0xC8,EMULEPROT-CC,v7.0,stable,none,"<StreamHash 16><Reason 1>",additive,srchybrid/Opcodes.h,304
OP_LIVE_PING,0xC9,EMULEPROT-CC,v7.x,stable,none,"<StreamHash 16><PingId 4><Timestamp 8>",additive,srchybrid/Opcodes.h,305
OP_LIVE_PEER_LIST,0xCA,EMULEPROT-CC,v7.0,stable,none,"<StreamHash 16><Count 2>(<IP 4><Port 2><Score 1>)xN",additive,srchybrid/Opcodes.h,301
OP_LIVE_PONG,0xCB,EMULEPROT-CC,v7.x,stable,none,"<StreamHash 16><PingId 4><Timestamp 8>",additive,srchybrid/Opcodes.h,306
OP_LIVE_CHUNK_V2,0xCC,EMULEPROT-CC,v7.7.0,stable,none,"<StreamHash 16><SeqNum 4><Ts 4><DataSize 4><Bitrate 2><sha256 32><Sig 64><Data>",additive,srchybrid/Opcodes.h,307
OP_LIVE_PEER_LIST_V2,0xCD,EMULEPROT-CC,v0.71,reserved,CAP_FORK_IPV6_WIRE,"<StreamHash 16><Count 2>(<CAddress><Port 2><Score 1>)xN",additive,srchybrid/Opcodes.h,310
OP_LIVE_RELAY_REQ,0xCE,EMULEPROT-CC,v0.71,reserved,CAP_FORK_IPV6_WIRE,"buddy relay request",additive,srchybrid/Opcodes.h,311
OP_LIVE_RELAY_FWD,0xCF,EMULEPROT-CC,v0.71,reserved,CAP_FORK_IPV6_WIRE,"buddy relay forward",additive,srchybrid/Opcodes.h,312
