name,value,namespace,intro_version,status,capability_gate,format,compat,file,line
TUN_OP_PING,0x01,TUNNEL-CELL,v8.1,stable,ESE_CAP_PRIVACY_TUNNELING,"liveness ping inside onion cell",internal-tunnel,srchybrid/LiveTunnel.h,152
TUN_OP_PING_REPLY,0x02,TUNNEL-CELL,v8.1,stable,ESE_CAP_PRIVACY_TUNNELING,"ping reply",internal-tunnel,srchybrid/LiveTunnel.h,153
TUN_OP_KAD_SEARCH,0x10,TUNNEL-CELL,v8.1,deprecated,ESE_CAP_PRIVACY_TUNNELING,"legacy demo search (exit reads local cache) -- superseded by V2",internal-tunnel,srchybrid/LiveTunnel.h,155
TUN_OP_KAD_RESULT,0x11,TUNNEL-CELL,v8.1,deprecated,ESE_CAP_PRIVACY_TUNNELING,"legacy demo result",internal-tunnel,srchybrid/LiveTunnel.h,156
TUN_OP_LIVE_SUBSCRIBE,0x20,TUNNEL-CELL,v8.1,stable,ESE_CAP_PRIVACY_TUNNELING,"V->exit forward subscribe to broadcaster",internal-tunnel,srchybrid/LiveTunnel.h,157
TUN_OP_LIVE_SUB_ACK,0x21,TUNNEL-CELL,v8.1,stable,ESE_CAP_PRIVACY_TUNNELING,"exit->V ack / broadcaster contact",internal-tunnel,srchybrid/LiveTunnel.h,158
TUN_OP_LIVE_HEARTBEAT,0x22,TUNNEL-CELL,v8.1,stable,ESE_CAP_PRIVACY_TUNNELING,"exit->V relay heartbeat/announce (C3)",internal-tunnel,srchybrid/LiveTunnel.h,159
TUN_OP_LIVE_PEER_LIST,0x23,TUNNEL-CELL,v8.1,stable,ESE_CAP_PRIVACY_TUNNELING,"exit->V relay alt sources (C2/C3)",internal-tunnel,srchybrid/LiveTunnel.h,160
TUN_OP_ECHO_LARGE,0x40,TUNNEL-CELL,v8.1,stable,ESE_CAP_PRIVACY_TUNNELING,"A1.7 test: arbitrary-size echo",internal-tunnel,srchybrid/LiveTunnel.h,164
TUN_OP_ECHO_LARGE_REPLY,0x41,TUNNEL-CELL,v8.1,stable,ESE_CAP_PRIVACY_TUNNELING,"A1.7 test: echoed payload",internal-tunnel,srchybrid/LiveTunnel.h,165
TUN_OP_KAD_SEARCH_V2,0x42,TUNNEL-CELL,v8.1,stable,ESE_CAP_PRIVACY_TUNNELING,"V->exit run real Kad CSearch",internal-tunnel,srchybrid/LiveTunnel.h,167
TUN_OP_KAD_RESULT_V2,0x43,TUNNEL-CELL,v8.1,stable,ESE_CAP_PRIVACY_TUNNELING,"exit->V rich results (multi-cell)",internal-tunnel,srchybrid/LiveTunnel.h,168
TUN_OP_KAD_CANCEL,0x44,TUNNEL-CELL,v8.1,stable,ESE_CAP_PRIVACY_TUNNELING,"V->exit abort search by req_id",internal-tunnel,srchybrid/LiveTunnel.h,169
TUN_OP_BULK_SUBSCRIBE,0x50,TUNNEL-CELL,v8.1.1,stable,ESE_CAP_TUNNEL_BULK,"V->exit start bulk push for a stream",internal-tunnel,srchybrid/LiveTunnel.h,174
TUN_OP_BULK_NACK,0x52,TUNNEL-CELL,v8.1.1,stable,ESE_CAP_TUNNEL_BULK,"V->exit re-push missing (seq, block): stream_key 16 + count 1 + (seq 4 + block_idx 1)*count",internal-tunnel,srchybrid/LiveTunnel.h,177
TUN_OP_BULK_UNSUB,0x54,TUNNEL-CELL,v8.1.1,stable,ESE_CAP_TUNNEL_BULK,"V->exit stop bulk push",internal-tunnel,srchybrid/LiveTunnel.h,175
TUN_OP_DVR_FETCH,0x60,TUNNEL-CELL,DESIGN,reserved-proposed,ESE_CAP_LIVE_DVR,"V->exit: <StreamKey 16><FromSeq 4><Count 1>; response via bulk plane 0xD9 with BulkDataHeader.flags bit0=FLAG_DVR (flag not linter-governed; see PROTOCOL_REGISTRY.md prose). NOT in code yet.",internal-tunnel,docs/SWARM_DVR_PLAN.md,0
TUN_OP_DVR_NACK,0x61,TUNNEL-CELL,DESIGN,reserved-proposed,ESE_CAP_LIVE_DVR,"exit->V: same reason codes as OP_LIVE_DVR_NACK 0xB8. NOT in code yet.",internal-tunnel,docs/SWARM_DVR_PLAN.md,0
TUN_OP_DVR_OFFER,0x62,TUNNEL-CELL,DESIGN,reserved-proposed,ESE_CAP_LIVE_DVR,"exit->V: DVR ranges reachable via the exit. NOT in code yet.",internal-tunnel,docs/SWARM_DVR_PLAN.md,0
TUN_OP_CHANNEL_FETCH,0x24,TUNNEL-CELL,DESIGN,reserved-proposed,ESE_CAP_CHANNEL_MANIFEST,"V->exit: fetch channel manifest/record by pubkey; single-cell band 0x24-0x3F (below 0x40 multi-cell threshold). NOT in code yet.",internal-tunnel,docs/CHANNEL_MANIFEST_PLAN.md,0
TUN_OP_CHANNEL_DATA,0x25,TUNNEL-CELL,DESIGN,reserved-proposed,ESE_CAP_CHANNEL_MANIFEST,"exit->V: channel manifest/record bytes (large sealed manifests may instead ride the bulk plane). NOT in code yet.",internal-tunnel,docs/CHANNEL_MANIFEST_PLAN.md,0
TUN_OP_KAD6_GATEWAY,0x70,TUNNEL-CELL,v0.71,experimental,ESE_CAP_KAD6,"V<->exit Kad6 gateway service; reassembled body = exact K6FrameV1. Runtime dispatches K6-1 search, K6-3 source/publish and K6-4 target-ticket/DIAL/stream/PEX-hints/VEP families; unsupported messages fail closed. Multi-cell (>=0x40), signed-cap gated, legacy 0x42/0x43 preserved.",internal-tunnel,srchybrid/LiveTunnel.h,194
